"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
1.06713499625137e-38,0.767231330383121,0.348,0.184,2.68800634205757e-34,"0","ZEB1"
9.95628275544152e-38,1.13090266544367,0.328,0.188,2.50788806326817e-33,"0","DIP2A"
1.01002046257938e-37,1.32293047717115,0.286,0.151,2.54414054319119e-33,"0","TMEM131L"
2.88784192569829e-37,0.927838964063989,0.463,0.327,7.27418502664141e-33,"0","CYTH1"
2.91638979554994e-37,1.36709223996668,0.404,0.282,7.34609425601075e-33,"0","RASA1"
2.99285524874332e-37,1.41181610564333,0.253,0.125,7.53870308605955e-33,"0","ADGRE5"
3.26010643714601e-37,0.873782629839808,0.599,0.512,8.2118821045271e-33,"0","ANKRD11"
4.38449818918832e-37,1.42470512110085,0.263,0.135,1.10441124887465e-32,"0","VOPP1"
6.84781964438728e-37,0.570485452050419,0.55,0.361,1.72489729022471e-32,"0","ANK3"
2.19329642167785e-36,0.955644459095772,0.431,0.288,5.52469435656434e-32,"0","ARAP2"
2.85250542664827e-36,1.20492813536204,0.3,0.162,7.18517591918434e-32,"0","SLC9A9"
2.45663334965301e-35,1.00235745763014,0.346,0.207,6.18801374444096e-31,"0","ATP2B1"
6.43303471808464e-35,0.49211478943109,0.493,0.313,1.62041711513834e-30,"0","ARHGAP26"
2.02874096054095e-34,0.930713694941416,0.356,0.213,5.11019560550659e-30,"0","TNIK"
2.74705991486125e-34,1.49620532891566,0.316,0.196,6.91956921954401e-30,"0","TLK1"
2.91602995964988e-34,0.915130268911965,0.41,0.272,7.34518786536208e-30,"0","MSI2"
3.11626135011959e-34,1.10698818773913,0.316,0.181,7.84955071481624e-30,"0","DOCK11"
3.45038291949471e-34,1.1102866721402,0.257,0.128,8.69116953591524e-30,"0","C22orf34"
4.2232245710857e-34,1.73053024902107,0.269,0.152,1.06378803721078e-29,"0","ARHGAP35"
6.35831744440262e-34,1.168718522676,0.426,0.309,1.60159658107058e-29,"0","EPS15"
1.71261931678172e-33,1.0157215298603,0.465,0.361,4.31391679704149e-29,"0","NCOA2"
2.95049083148072e-33,1.10237477627192,0.377,0.247,7.43199135541678e-29,"0","DIAPH1"
7.24668294334965e-32,0.830985004724974,0.315,0.174,1.82536696660034e-27,"0","MT-CO3"
7.7843516446989e-32,1.3566511804458,0.33,0.212,1.96080033578321e-27,"0","UBAC2"
8.2083542102244e-32,1.38926642701872,0.284,0.166,2.06760234201342e-27,"0","PRPF38B"
2.05735446899827e-31,0.955582268555585,0.32,0.18,5.18227017195973e-27,"0","MT-ND2"
2.29745764453289e-30,1.39574527393351,0.259,0.146,5.78706606081389e-26,"0","RORA-AS1"
2.90801166097711e-30,1.34493570131201,0.267,0.151,7.32499057283524e-26,"0","MYO5A"
4.31217095332248e-30,0.272455169088555,0.82,0.637,1.0861927414324e-25,"0","CELF2"
8.69647188132545e-30,1.18680593217349,0.364,0.25,2.19055430218707e-25,"0","RAP1A"
1.95255949003593e-29,0.964854093232383,0.459,0.355,4.91830209945151e-25,"0","MYCBP2"
8.47798571745691e-29,0.799106792692943,0.454,0.339,2.13551982237022e-24,"0","ARL15"
1.93274791605638e-28,0.477205972967333,0.547,0.367,4.86839872575442e-24,"0","ELMO1"
1.14450666063442e-27,1.2912104808895,0.297,0.185,2.88289782747205e-23,"0","SEPTIN9"
2.20770020971691e-27,1.04649495708764,0.404,0.297,5.56097605825594e-23,"0","RPS6KA3"
4.04536034452373e-27,1.12898742941946,0.376,0.27,1.01898581718208e-22,"0","NR3C1"
5.34345524226424e-27,1.10086489642509,0.374,0.266,1.34596294097394e-22,"0","CCSER2"
3.92081792315932e-26,1.25484830936932,0.338,0.237,9.876148266646e-22,"0","EPC1"
1.21977909201561e-25,0.731400528385691,0.539,0.461,3.07250155487812e-21,"0","RNF213"
7.09633129395962e-25,1.29681107959515,0.288,0.187,1.78749488963549e-20,"0","STIM2"
1.45808990094336e-24,1.3638263433856,0.346,0.253,3.67278265148622e-20,"0","PHACTR2"
